Neighborhood,TotalFloorSpace,BedroomsCount,ParkingsAvailable,BalconyArea,SalePrice
6,1935,3,2,0,263435
24,1135,3,2,256,155000
10,864,3,1,0,62383
3,1660,3,1,0,188700
1,1040,3,0,0,124000
22,1414,2,2,144,178740
12,1277,2,2,0,167000
12,1644,3,1,168,146500
11,1634,3,3,0,250000
13,1710,3,2,144,187000
19,1502,1,2,0,212000
7,1969,3,2,0,190000
16,1072,2,2,0,148000
11,1976,2,3,250,440000
19,1652,2,2,96,251000
10,970,2,2,0,132500
1,1493,3,2,140,208900
11,2643,3,3,414,380000
1,1718,3,3,208,297000
8,1131,2,2,0,89471
11,1850,3,3,519,326000
11,1792,2,3,206,374000
8,1826,4,1,0,155000
5,1216,2,2,0,164000
10,999,3,1,0,132500
12,1113,3,1,0,147000
12,1073,3,2,0,156000
7,1484,3,2,224,175000
8,2414,3,2,142,160000
15,630,1,1,0,86000
15,1304,3,1,141,115000
12,1578,3,1,0,133000
18,1456,3,2,0,172785
12,1269,3,1,0,155000
8,886,2,1,144,91300
14,720,2,0,0,34900
4,3228,4,2,264,430000
9,1820,4,1,0,184000
10,899,3,1,64,130000
12,912,2,1,12,120000
23,1218,3,1,144,113000
6,1768,3,2,0,226700
16,1214,2,2,0,140000
3,1801,1,2,0,289000
21,1322,3,2,260,147000
8,1960,4,2,0,124500
13,1911,3,2,182,215000
6,1218,2,2,0,208300
8,1378,3,2,0,161000
12,1041,3,1,224,124500
12,1363,2,1,324,164900
11,1368,2,2,132,202665
12,864,3,2,0,129900
5,1080,3,2,120,134000
3,789,2,1,0,96500
11,2020,3,3,156,402861
7,2119,3,2,0,158000
4,2344,3,3,220,265000
1,1796,3,2,0,211000
3,2080,3,1,0,234000
8,1294,3,0,220,106250
12,1244,3,1,0,150000
9,1664,3,2,0,159000
16,4676,3,3,208,184750
4,2398,3,3,239,315750
6,1266,3,2,38,176000
12,928,2,1,261,132000
11,2713,3,3,126,446261
16,605,2,0,0,86000
3,2515,4,2,0,200624
17,1509,3,2,224,175000
9,1362,3,2,0,128000
12,827,2,1,0,107500
9,334,1,0,0,39300
18,1414,3,2,100,178000
16,1347,3,0,85,107500
1,1724,3,2,120,188000
12,864,3,2,216,111250
10,1159,3,1,466,158000
1,1601,3,2,180,272000
17,1838,2,3,270,315000
4,2285,4,3,0,248000
7,1680,3,2,78,213250
12,767,1,1,120,133000
18,1496,3,2,100,179665
7,2183,4,3,0,229000
9,1635,3,2,0,210000
5,768,2,2,104,129500
8,825,2,2,140,125000
6,2094,4,2,182,263000
21,1069,2,2,0,140000
8,928,3,1,0,112500
11,1717,3,3,169,255500
16,1126,2,2,0,108000
11,2046,3,3,320,284000
9,1048,2,1,0,113000
12,1092,2,1,268,141000
14,1336,3,1,0,108000
18,1446,3,2,264,175000
22,1557,2,2,143,234000
10,1392,3,2,0,121500
5,1389,2,2,240,170000
16,996,3,0,144,108000
16,1674,4,2,72,185000
4,2295,4,2,0,268000
24,1647,4,1,0,128000
19,2504,4,3,144,325000
11,1535,3,2,0,214000
13,2132,1,2,349,316600
12,943,2,2,42,135960
12,1728,6,2,0,142600
12,864,2,1,168,120000
17,1692,3,2,208,224500
18,1430,3,2,100,170000
12,1109,3,1,35,139000
12,1216,2,1,158,118500
24,1477,3,1,0,145000
10,1320,3,2,160,164500
6,1392,2,2,0,146000
8,1795,4,1,0,131500
12,1429,3,2,216,181900
11,2042,3,3,0,253293
16,816,3,0,0,118500
8,2775,3,2,105,325000
9,1573,3,1,0,133000
17,2028,2,3,326,369900
9,838,2,1,0,130000
10,860,2,2,0,137000
20,1473,1,1,0,143000
9,935,2,1,0,79500
1,1582,3,2,0,185900
11,2296,3,3,382,451950
5,816,2,2,0,138000
1,848,1,2,140,140000
1,924,3,1,0,110000
19,1826,3,3,180,319000
8,1368,3,1,0,114504
22,1402,2,3,120,194201
3,1647,3,2,0,217500
25,1556,3,2,161,151000
11,1904,3,2,179,275000
14,1375,3,1,0,141000
13,1915,3,2,120,220000
6,1200,2,2,0,151000
1,1494,3,2,192,221000
12,1986,3,2,0,205000
1,1040,3,2,168,152000
16,2008,3,1,103,225000
3,3194,4,2,0,359100
10,1029,3,1,64,118500
1,2153,3,3,253,313000
7,1032,3,2,0,148000
1,1872,3,2,160,261500
5,1120,3,0,0,147000
15,630,1,0,96,75500
12,1054,3,2,120,137500
18,1509,3,2,100,183200
12,832,2,2,0,105500
11,1828,3,3,0,314813
17,2262,4,3,168,305000
16,864,2,0,0,67000
7,2614,4,2,38,240000
10,980,3,2,192,135000
6,1512,2,2,0,168500
7,1790,4,2,148,165150
12,1116,3,2,0,160000
12,1422,3,1,0,139900
12,1520,3,1,0,153000
12,2080,5,2,335,135000
12,1350,3,2,176,168500
8,1750,3,1,0,124000
11,1554,2,2,156,209500
7,1411,3,2,192,82500
12,1056,3,1,390,139400
8,1056,0,2,264,144000
24,3395,8,0,0,200000
9,800,1,0,0,60000
8,1387,3,1,0,93000
16,796,2,0,328,85000
22,1567,1,3,312,264561
11,1518,1,2,185,274000
6,1929,3,2,0,226000
12,2704,4,2,269,345000
7,1620,4,2,208,152000
6,1766,2,3,195,370878
12,981,3,2,0,143250
12,1048,3,2,0,98300
16,1094,3,2,0,155000
12,1839,4,2,0,155000
15,630,1,0,0,84500
6,1665,3,2,0,205950
16,1510,4,1,120,108000
1,1716,2,2,0,191000
14,1469,3,1,57,135000
4,2113,2,3,236,350000
23,1092,3,1,0,88000
12,1053,3,1,0,145500
3,1502,3,1,0,149000
12,1458,3,1,192,97500
16,1486,3,2,0,167000
7,1935,3,2,0,197900
4,2448,4,3,517,402000
12,1392,2,2,0,110000
16,1181,3,2,0,137500
6,2097,1,3,192,423000
18,1936,3,2,188,230500
12,2380,3,2,0,129000
13,1679,3,2,224,193500
10,1437,3,2,304,168000
3,1180,2,1,0,137500
1,1476,3,2,100,173500
16,1369,3,1,147,103600
2,1208,3,2,198,165000
3,1839,3,2,0,257500
12,1136,3,1,426,140000
21,1441,3,2,28,148500
8,1774,4,3,0,87000
8,792,2,1,316,109500
19,2046,3,3,322,372500
10,988,3,2,0,128500
13,923,2,1,80,143000
24,1520,3,1,0,159434
20,1291,2,2,307,173000
1,1668,3,3,257,285000
4,1839,4,2,0,221000
19,2090,3,2,219,207500
6,1761,3,2,144,227875
6,1102,2,2,0,148800
19,1419,2,2,140,392000
11,1362,2,2,192,194700
1,848,1,2,149,141000
4,4316,4,3,382,755000
17,2519,4,2,320,335000
8,1073,2,1,0,108480
9,1539,3,2,112,141500
17,1137,2,2,125,176000
9,616,2,1,0,89000
16,1148,2,1,0,123500
10,894,3,1,416,138500
6,1391,2,2,156,196000
17,1800,3,3,270,312500
7,1164,3,2,0,140000
19,2576,4,3,324,361919
8,1812,4,2,344,140000
1,1484,3,2,0,213000
14,1092,3,0,0,55000
20,1824,2,2,380,302000
11,1324,2,2,192,254000
18,1456,3,2,100,179540
10,904,3,1,0,109900
9,729,2,0,0,52000
14,1178,2,1,68,102776
19,1228,2,2,168,189000
9,960,3,2,0,129000
10,1479,3,2,0,130500
7,1350,3,2,0,165000
8,2554,3,2,0,159500
7,1178,3,2,224,157000
4,2418,3,3,250,341000
1,971,3,1,0,128500
19,1742,2,2,114,275000
1,848,1,2,160,143000
12,864,3,2,0,124500
16,1470,4,1,0,135000
16,1698,3,3,327,320000
12,864,3,2,96,120500
3,1680,3,2,292,222000
1,1232,2,2,132,194500
12,1776,4,3,0,110000
14,1208,2,2,0,103000
19,1616,2,2,237,236500
17,1146,3,2,160,187500
1,2031,3,2,192,222500
10,1144,3,1,165,131400
10,948,3,1,147,108000
8,1768,2,2,0,163000
12,1040,2,2,0,93500
18,1801,3,3,0,239900
16,1200,3,0,120,179000
1,1728,3,2,187,190000
8,1432,2,2,270,132000
10,912,3,1,168,142000
13,1349,3,2,120,179000
10,1464,3,2,302,175000
19,1337,2,2,96,180000
7,2715,4,2,0,299800
18,2256,4,2,224,236000
8,2640,4,4,181,265979
4,1720,3,2,240,260400
16,1529,4,1,92,98000
8,1140,3,0,0,96500
18,1320,3,2,0,162000
1,1494,3,2,168,217000
11,2098,3,3,192,275500
12,1026,3,2,171,156000
6,1471,3,2,0,172500
1,1768,3,2,144,212000
10,1386,3,2,335,158900
6,1501,3,2,0,179400
4,2531,4,3,222,290000
12,864,2,1,0,127500
9,1301,2,2,0,100000
6,1547,3,2,169,215200
4,2365,3,3,0,337000
2,1494,2,2,0,270000
6,1506,2,2,0,264132
7,1714,3,2,228,196500
5,1750,4,1,245,160000
1,1836,3,2,120,216837
19,3279,4,3,503,538000
10,858,2,2,120,134900
16,1220,2,2,0,102000
16,1117,3,2,144,107000
12,912,2,1,0,114500
11,1973,3,3,315,395000
5,1204,2,2,0,162000
1,1614,3,3,144,221500
10,894,3,2,241,142500
13,2020,4,2,0,144000
5,1004,2,2,0,135000
18,1253,3,2,220,176000
13,1603,3,2,0,175900
1,1430,3,2,0,187100
5,1110,1,2,303,165500
8,1484,3,0,0,128000
7,1342,3,2,0,161500
8,1652,4,1,0,139000
13,2084,4,2,0,233000
8,901,2,1,0,107900
20,2087,5,2,133,187500
22,1145,2,2,100,160200
5,1062,3,2,120,146800
4,2013,3,2,180,269790
6,1496,3,2,168,225000
18,1895,3,2,143,194500
13,1564,3,2,0,171000
10,1285,3,2,138,143500
12,773,2,1,0,110000
11,3140,4,3,144,485000
24,1768,3,1,0,175000
20,1688,4,2,403,200000
14,1196,2,2,0,109900
1,1456,3,2,36,189000
11,2822,4,3,52,582933
12,1128,2,1,0,118000
6,1428,3,2,0,227680
12,980,3,1,68,135500
9,1576,3,2,0,223500
12,1086,3,2,0,159950
8,2138,2,2,40,106000
7,1309,3,2,265,181000
1,848,1,2,140,144500
14,1044,2,2,0,55993
12,1442,4,1,0,157900
16,1250,3,1,207,116000
1,1661,3,2,0,224900
12,1008,2,1,0,137000
5,1689,3,3,150,271000
20,1052,3,2,0,155000
11,1358,2,2,192,224000
1,1640,3,2,0,183000
8,936,2,2,0,93000
18,1733,3,2,100,225000
24,1489,3,1,335,139500
6,1489,3,2,0,232600
11,2084,2,3,188,385000
9,784,2,0,0,109500
13,1434,3,2,290,189000
20,2126,3,2,486,185000
6,1223,2,2,0,147400
12,1392,3,2,0,166000
6,1200,2,2,0,151000
1,1829,3,2,192,237000
12,1516,3,2,0,167000
12,1144,3,2,0,139950
10,1067,2,2,290,128000
8,1559,2,2,0,153500
23,987,2,1,0,100000
1,1099,3,1,278,144000
16,1200,3,1,0,130500
24,1482,4,1,0,140000
8,1539,3,2,70,157500
12,1165,3,2,0,174900
12,1800,6,0,0,141000
8,1416,4,3,418,153900
10,1701,3,2,0,171000
13,1775,3,2,234,213000
1,864,3,1,0,133500
20,2358,5,2,486,240000
2,1855,3,2,113,187000
1,848,1,2,140,131500
22,1456,2,2,143,215000
3,1646,4,1,0,164000
12,1445,3,2,180,158000
10,1779,3,2,0,170000
10,1040,3,1,0,127000
1,1026,3,2,0,147000
18,1481,3,2,0,174000
7,1370,3,2,0,152000
7,2654,4,2,0,250000
3,1426,3,1,0,189950
10,1039,3,2,0,131500
13,1097,3,2,0,152000
12,1148,3,1,0,132500
6,1372,3,2,0,250580
12,1002,3,2,0,148500
17,1646,3,3,192,248900
10,1120,3,2,168,129000
18,2320,2,2,120,169000
13,1949,3,2,156,236000
12,894,2,1,0,109500
1,1682,3,2,0,200500
12,910,3,2,196,116000
12,1268,3,1,0,133000
8,1131,3,1,26,66500
6,2610,4,2,208,303477
5,1040,3,2,0,132250
11,2224,4,3,184,350000
10,1155,3,2,192,148000
1,864,3,1,0,136500
16,1090,2,2,0,157000
17,1717,3,2,168,187500
18,1593,3,2,342,178000
24,2230,5,1,0,118500
12,892,3,1,0,100000
6,1709,2,2,97,328900
12,1712,4,2,272,145000
16,1393,3,1,121,135500
12,2217,4,2,81,268000
12,1505,2,2,0,149500
12,924,3,2,0,122900
10,1683,3,2,243,172500
10,1068,3,1,192,154500
10,1383,3,1,511,165000
13,1535,4,2,0,118858
12,1796,4,2,0,140000
14,951,2,1,0,106500
13,2240,6,2,154,142953
11,2364,2,3,0,611657
10,1236,3,1,0,135000
12,858,2,1,0,110000
12,1306,2,1,0,153000
18,1509,3,2,0,180000
18,1670,3,3,144,240000
10,902,3,1,0,125500
12,1063,3,1,0,128000
6,1636,3,3,0,255000
3,2057,3,1,0,250000
5,902,2,2,164,131000
18,1484,3,2,36,174000
12,2274,5,2,0,154300
1,1268,3,1,173,143500
9,1015,3,1,0,88000
3,2002,4,3,0,145000
6,1224,2,2,0,173733
15,1092,3,1,0,75000
14,480,1,1,0,35311
16,1229,3,1,0,135000
13,2127,4,3,72,238000
12,1414,3,2,0,176500
13,1721,3,2,300,201000
16,2200,4,0,0,145900
18,1316,3,2,100,169990
13,1617,2,2,0,193000
7,1686,3,2,384,207500
7,1126,3,2,180,175000
11,2374,4,3,104,285000
7,1978,4,2,0,176000
1,1788,3,2,202,236500
18,2236,4,2,0,222000
17,1466,3,3,100,201000
12,925,2,1,0,117500
6,1905,3,3,0,320000
1,1500,3,2,192,190000
12,2069,4,2,0,242000
9,747,1,2,0,79900
13,1200,2,2,0,184900
6,1971,3,2,0,253000
1,1962,3,3,0,239799
20,2403,4,1,56,244400
5,1728,4,2,40,150900
18,2060,3,2,0,214000
16,1440,4,0,321,150000
5,1632,4,2,0,143000
17,1344,3,2,0,137500
8,1869,2,2,48,124900
12,1144,3,1,86,143000
17,1629,3,3,0,270000
1,1776,3,2,144,192500
7,1381,3,2,0,197500
12,864,3,2,194,129000
13,965,3,1,421,119900
1,768,2,1,192,133900
5,1968,4,2,305,172000
16,980,4,0,0,127500
3,1958,4,2,0,145000
25,1229,2,2,150,124000
10,1057,3,2,0,132000
1,1337,3,2,0,185000
6,1416,3,2,0,155000
9,858,2,0,117,116500
7,2872,4,2,550,272000
21,1548,3,2,48,155000
1,1800,2,2,288,239000
17,1894,4,2,0,214900
18,1484,3,2,0,178900
3,1308,2,1,0,160000
12,1098,3,1,0,135000
8,968,2,0,0,37900
12,1095,2,1,0,140000
12,1192,4,0,0,135000
11,1626,2,2,0,173000
13,918,2,1,28,99500
6,1428,3,2,0,182000
9,2019,3,2,509,167500
6,1382,3,2,153,165000
9,869,2,0,0,85500
6,1241,1,2,0,199900
16,894,3,2,0,110000
10,1121,3,2,0,139000
12,999,3,2,144,178400
4,2612,4,3,250,336000
22,1266,2,2,100,159895
1,2290,4,2,0,255900
5,1734,4,2,0,126000
16,1164,3,1,0,125000
8,1635,2,1,394,117000
11,1940,3,3,168,395192
7,2030,4,2,0,195000
6,1576,3,2,0,197000
4,2392,3,3,0,348000
8,1742,4,2,0,168000
12,1851,3,2,239,187000
1,1500,3,2,0,173900
11,1718,3,3,216,337500
9,1230,3,1,0,121600
12,1050,3,1,0,136500
7,1442,2,2,371,185000
14,1077,3,1,0,91000
1,1208,2,2,105,206000
16,944,2,2,0,82000
8,691,2,1,0,86000
6,1574,3,3,144,232000
7,1680,4,2,0,136905
